Date,Open,High,Low,Close,Adj Close,Volume
2017-05-10,139.800003,139.800003,139.039993,139.740005,138.293076,104700
2017-05-11,139.550003,139.820007,139.110001,139.800003,138.352463,107200
2017-05-12,139.740005,139.929993,139.520004,139.660004,138.213913,85700
2017-05-15,139.740005,140.589996,139.710007,140.490005,139.035309,106200
2017-05-16,140.539993,140.539993,139.649994,140.070007,138.619675,134500
2017-05-17,138.990005,139.149994,138.059998,138.070007,136.640381,133700
2017-05-18,137.839996,139.479996,137.770004,138.740005,137.303421,111800
2017-05-19,139.000000,139.570007,138.970001,139.059998,137.620117,114600
2017-05-22,139.070007,139.630005,139.000000,139.440002,137.996185,92100
2017-05-23,139.740005,140.149994,139.710007,139.960007,138.510803,413900
2017-05-24,140.059998,140.440002,139.619995,140.360001,138.906662,205300
2017-05-25,140.610001,141.190002,140.470001,140.949997,139.490555,85700
2017-05-26,140.990005,141.229996,140.550003,140.649994,139.193649,104700
2017-05-30,140.399994,140.770004,140.110001,140.300003,138.847275,91300
2017-05-31,140.410004,141.059998,140.360001,140.820007,139.361893,158400
2017-06-01,141.029999,142.710007,141.000000,142.710007,141.232330,196600
2017-06-02,143.050003,143.850006,143.000000,143.690002,142.202179,177600
2017-06-05,143.630005,143.630005,142.759995,143.160004,141.677673,114900
2017-06-06,142.889999,143.330002,142.460007,142.789993,141.311478,103800
2017-06-07,143.110001,143.399994,142.850006,143.259995,141.776611,73900
2017-06-08,143.250000,143.619995,142.740005,143.190002,141.707352,176700
2017-06-09,143.320007,144.399994,143.190002,143.820007,142.330841,119100
2017-06-12,143.690002,144.089996,142.820007,143.479996,141.994339,83700
2017-06-13,143.800003,144.199997,143.479996,143.940002,142.449585,449100
2017-06-14,144.220001,145.039993,144.139999,144.570007,143.073074,117500
2017-06-15,144.080002,144.509995,143.619995,144.410004,142.914719,280300
2017-06-16,144.539993,144.789993,143.850006,144.630005,143.132431,121800
2017-06-19,145.000000,146.479996,144.979996,146.369995,144.854431,128200
2017-06-20,146.399994,147.759995,146.380005,146.789993,145.270065,220900
2017-06-21,147.229996,148.869995,147.089996,148.830002,147.288940,365100
2017-06-22,149.479996,151.229996,149.279999,150.350006,148.793228,354200
2017-06-23,150.559998,150.559998,149.539993,150.410004,148.852585,284500
2017-06-26,150.850006,150.850006,149.779999,150.000000,148.446823,251200
2017-06-27,149.809998,150.160004,148.350006,148.350006,146.813934,285800
2017-06-28,148.350006,149.130005,148.279999,148.899994,147.854553,163000
2017-06-29,149.000000,149.000000,146.669998,147.539993,146.504105,184600
2017-06-30,148.000000,148.000000,147.369995,147.369995,146.335297,175400
2017-07-03,148.300003,148.350006,147.660004,147.729996,146.692780,381400
2017-07-05,148.000000,148.809998,147.460007,148.669998,147.626190,280700
2017-07-06,148.130005,148.199997,146.399994,146.600006,145.570724,288500
2017-07-07,146.910004,147.600006,146.800003,147.509995,146.474319,153800
2017-07-10,147.839996,147.839996,146.699997,147.000000,145.967911,182900
2017-07-11,147.000000,147.259995,146.259995,147.029999,145.997696,116700
2017-07-12,147.729996,148.429993,147.509995,148.059998,147.020462,106100
2017-07-13,148.250000,148.559998,146.970001,148.139999,147.099899,176600
2017-07-14,148.289993,149.389999,148.149994,149.020004,147.973724,247500
2017-07-17,149.240005,149.339996,148.460007,148.600006,147.556671,112300
2017-07-18,148.539993,148.619995,147.649994,148.610001,147.566605,153000
2017-07-19,149.210007,149.750000,149.190002,149.639999,148.589355,175200
2017-07-20,149.889999,150.940002,149.889999,150.630005,149.572418,160500
2017-07-21,150.820007,151.199997,150.289993,150.559998,149.502899,143500
2017-07-24,150.559998,150.820007,150.020004,150.750000,149.691574,141800
2017-07-25,151.229996,151.289993,149.419998,149.660004,148.609238,152200
2017-07-26,149.470001,149.470001,148.770004,149.130005,148.082947,132400
2017-07-27,149.380005,149.380005,147.199997,147.800003,146.762299,194900
2017-07-28,147.850006,148.699997,147.229996,148.559998,147.516953,123600
2017-07-31,148.669998,148.940002,148.199997,148.250000,147.209122,381600
2017-08-01,148.460007,148.460007,147.559998,147.679993,146.643112,219100
2017-08-02,147.809998,147.809998,146.850006,147.380005,146.345245,241700
2017-08-03,147.389999,147.880005,147.089996,147.589996,146.553757,115000
2017-08-04,147.940002,147.940002,147.210007,147.410004,146.375031,94200
2017-08-07,147.509995,147.809998,147.210007,147.759995,146.722549,105400
2017-08-08,147.610001,147.970001,146.750000,147.039993,146.007614,124100
2017-08-09,146.639999,147.210007,146.339996,147.059998,146.027481,215600
2017-08-10,146.539993,146.619995,144.889999,144.889999,143.872711,238200
2017-08-11,144.899994,146.119995,144.899994,145.610001,144.587677,123100
2017-08-14,146.369995,146.770004,146.220001,146.470001,145.441635,130600
2017-08-15,146.979996,147.020004,146.570007,146.649994,145.620361,109100
2017-08-16,146.979996,147.300003,146.710007,147.020004,145.987762,82300
2017-08-17,146.929993,147.179993,145.100006,145.100006,144.081253,216000
2017-08-18,144.830002,145.419998,144.380005,144.600006,143.584763,104000
2017-08-21,144.589996,145.320007,144.429993,145.190002,144.170609,119300
2017-08-22,145.330002,147.149994,145.250000,147.020004,145.987762,72700
2017-08-23,146.639999,146.639999,145.880005,145.910004,144.885559,127600
2017-08-24,146.160004,146.679993,145.960007,146.449997,145.421753,148600
2017-08-25,146.990005,147.240005,146.330002,146.330002,145.302612,96300
2017-08-28,146.669998,147.520004,146.669998,147.389999,146.355164,110300
2017-08-29,146.729996,147.800003,146.610001,147.649994,146.613342,130300
2017-08-30,147.619995,148.820007,147.509995,148.460007,147.417648,125600
2017-08-31,149.000000,151.250000,149.000000,151.059998,149.999390,244600
2017-09-01,151.369995,151.669998,150.520004,151.139999,150.078827,268800
2017-09-05,150.710007,151.330002,149.660004,150.449997,149.393677,537200
2017-09-06,150.970001,151.229996,150.229996,151.139999,150.078827,184300
2017-09-07,151.080002,152.779999,151.000000,152.470001,151.399506,210400
2017-09-08,152.529999,153.339996,152.199997,153.110001,152.035004,179600
2017-09-11,154.000000,154.289993,153.479996,154.250000,153.167007,117300
2017-09-12,154.380005,154.649994,153.979996,154.649994,153.564194,114200
2017-09-13,154.570007,154.660004,153.800003,154.039993,152.958466,281000
2017-09-14,153.779999,154.470001,153.399994,154.229996,153.147141,166700
2017-09-15,154.179993,154.580002,153.600006,153.820007,152.740036,117200
2017-09-18,154.259995,154.429993,153.550003,153.869995,152.789673,193100
2017-09-19,154.070007,154.070007,152.410004,152.600006,151.528595,199600
2017-09-20,152.580002,153.070007,151.850006,152.949997,151.876129,146700
2017-09-21,152.960007,153.039993,152.149994,152.199997,151.131393,104700
2017-09-22,152.070007,152.500000,151.419998,152.210007,151.141342,110000
2017-09-25,152.169998,152.630005,151.580002,151.839996,150.773911,518200
2017-09-26,152.000000,152.639999,151.369995,151.449997,150.386658,210100
2017-09-27,151.339996,151.429993,150.460007,151.160004,150.610840,168600
2017-09-28,151.130005,151.860001,150.820007,151.449997,150.899780,103800
2017-09-29,151.720001,152.369995,151.139999,152.279999,151.726776,200100
2017-10-02,152.910004,153.919998,152.300003,153.919998,153.360809,300000
2017-10-03,154.270004,154.320007,153.210007,153.899994,153.340881,165600
2017-10-04,153.929993,154.619995,153.869995,154.500000,153.938705,212200
2017-10-05,154.699997,154.729996,154.119995,154.729996,154.167862,173700
2017-10-06,154.619995,155.149994,154.309998,154.600006,154.038345,138100
2017-10-09,154.729996,154.729996,153.250000,153.479996,152.922409,116900
2017-10-10,154.199997,154.199997,152.949997,153.710007,153.151581,201300
2017-10-11,153.839996,154.160004,153.619995,154.029999,153.470413,86500
2017-10-12,154.000000,154.149994,153.679993,153.869995,153.310989,258600
2017-10-13,153.550003,153.690002,153.039993,153.369995,152.812805,159800
